bin_id,timestamp,t_start_sec,excerpt,heuristic_verdict,electra_verdict,electra_talk_moves,system_agreement,annotator_friction,notes
1,0:00–0:30,0,[T] I'm wired.,RISKY(unknown),RISKY,No Move,BOTH_RISKY,0,
2,0:30–1:00,30,[T] I'm wired. [T] It's running. [T] I'll make it a bit warmer.,RISKY(unknown),RISKY,No Move,BOTH_RISKY,0,
3,1:00–1:30,60,"[T] I'll make it a bit warmer. [T] Well not really, but if you really have to I suppose. Okay. [T] Oh, you won't need it today.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
4,1:30–2:00,90,"[T] Are you going to be sitting down? [T] Oh, then you've got to go outside then. [T] There'll be some books out there.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
5,2:00–2:30,120,[T] There'll be some books out there. [T] Oh. They- they can't come in now. They're not supposed to be coming in here. [T] 'Cause we're doing this filming. [T] No. It doesn't anymore. But um- They'll have to-,HIGH,RISKY,No Move,ELECTRA_ONLY,0,
6,2:30–3:00,150,"[T] Well they can sit outside there, I suppose. You'll need to just sit over there. [T] People can you start by taking out this... sheet that we were looking at the other day.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
7,3:00–3:30,180,"[T] People can you start by taking out this... sheet that we were looking at the other day. [T] We're going to be looking at something a bit similar, uh, today. Just have a look at the... bit down here for a moment where it says ""present your findings"".",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
8,3:30–4:00,210,"[T] We're going to be looking at something a bit similar, uh, today. Just have a look at the... bit down here for a moment where it says ""present your findings"". [T] I did print out a few of the things that you've been doing on the computer that's sitting over there. [T] There's a few, uh, snow men ",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
9,4:00–4:30,240,"[T] And there's two or three of the things that you've been doing with the star in the circle. And it actually doesn't print out in a way that you can read it from very far away. [T] It's all right to look at in front of you. Uh, and it doesn't print out in color either. [T] But, this one has- first",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
10,4:30–5:00,270,"[T] And that person and also the one next to it has written some sort of a conclusion which is what is being talked about here. That's one of them. [T] Now this actually is quite easy to read, but it doesn't project all that well. So let me read it for you. ""The sum of the angles don't change when y",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
11,5:00–5:30,300,"[T] No matter what the size of the angles are, if you have a five pointed star inscribed in a circle it will be 180 degrees."" [T] So there's actually a few things mentioned in there. There's the fact that it's 180 degrees. [T] There's the fact that it doesn't change if you move the points around the",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,1,
12,5:30–6:00,330,"[T] Quite a lot of you haven't yet got to that stage of writing all of those things onto your page. [T] What I want to do now is, if you can pass these back...",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
13,6:00–6:30,360,"[T] What I want to do now is, if you can pass these back... [T] Spares? [T] Firstly, everyone just individually read through the page please.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
14,6:30–7:00,390,"[T] Firstly, everyone just individually read through the page please.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
15,7:00–7:30,420,"[T] Firstly, everyone just individually read through the page please. [T] Okay, that's enough for just a quick read through. [T] Now I'd like you together with the person next to you to read through it and have a look at any words in there that you think we might need to know the meaning of.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
16,7:30–8:00,450,"[T] Now I'd like you together with the person next to you to read through it and have a look at any words in there that you think we might need to know the meaning of. [T] Just underline them with a pencil or something like that. They could be words that you're not sure of the meaning of. [T] Uh, or",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
17,8:00–8:30,480,"[T] Uh, or they could be words that maybe you do know, but you think that's a pretty important word for us to do. Just do this with a brief discussion with the person next to you please.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
18,8:30–9:00,510,"[T] Uh, or they could be words that maybe you do know, but you think that's a pretty important word for us to do. Just do this with a brief discussion with the person next to you please. [T] Oh, well, we'll cover that later, but what it would mean would be that if these rays instead of going in that",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
19,9:00–9:30,540,"[T] Okay. People have found a few words. They seem to be the same words. Can someone give me a word or two that you need? [T] Okay, convex. Um, where is that? Okay, it's in several places, but there's- there's one of them. [T] And there's another one. So there's convex. It certainly must be importan",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
20,9:30–10:00,570,"[T] Okay. Polygon. The actual heading says Polygon, doesn't it? So if, uh, you certainly need to look in the heading. Some others, words or- phrases? [T] Okay. Who, who had exterior angle, uh, picked out as something that they need to know about? Okay. So exterior angle, polygon, convex, quadrilater",HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
21,10:00–10:30,600,"[T] Rays. Okay. It says construct rays. So that's something that we need to know about as well. [T] Let's have a look at these words. Polygon. Can anyone help us with what a polygon might be? [T] Five-sided shape. Who agrees with the five-sided shape? Hmm, not a lot. [T] Any two-D shape. Okay. So...",HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
22,10:30–11:00,630,"[T] Any two-D shape. Okay. So... would that be a polygon? [T] Mm, oh, that's enclosed. [T] Many-sided shape [T] Oh, straight. Okay. That's getting a bit closer, to it. So... a shape that has a number of straight sides. How many sides has that got?",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
23,11:00–11:30,660,"[T] Oh, straight. Okay. That's getting a bit closer, to it. So... a shape that has a number of straight sides. How many sides has that got? [T] Six. What's it called if it has six straight sides? Hexagon. The diagram up there has in the middle of it what sort of shape? Pentagon, because it has five ",HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
24,11:30–12:00,690,[T] If it- Polygon is just a name for any number of sides. Now exterior angles. There is something that tells you what an exterior angle is. [T] Who has found the spot that actually tells you on the page what an exterior angle is? Peter. [T] Okay. Exterior angles lie outside the polygon. It says tha,HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
25,12:00–12:30,720,"[T] Right. It's formed when one of the sides is extended. So, suppose I took that side... what choice have I got about extending it? Emma. [T] Okay. You can go in two directions. But suppose we choose to go down. Then... I've turned it into a ray now, haven't I? [T] Because it goes on in one directi",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
26,12:30–13:00,750,"[T] Yes, it certainly does. How many of those could you get from this hexagon? [T] You can get six of them because there are six sides to extend. And you can see from the diagram that you've got on your page that they've all been extended in the same direction. [T] Someone asked about... this note d",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
27,13:00–13:30,780,"[T] Someone asked about... this note down here. ""This construction creates only one set of exterior angles. [T] Another set could be constructed if you went the opposite direction with your rays."" [T] So I could have gone... all of them around in that direction. But we just choose one direction. Oka",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
28,13:30–14:00,810,"[T] And you'll be doing that construction. It gives you some fairly specific things to do first. Just think about how this is going to be constructed and read what it says there. [T] How do you actually construct that diagram? [T] Okay. First thing is, you need to go to the segment tool bar and chan",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
29,14:00–14:30,840,"[T] Okay. Just listen carefully to what he said there. You create one ray... Let me get rid of this and start again... [T] It'll look like that, won't it? Okay. Now the next thing he said was you go somewhere along that ray and do another one. Now think carefully about that.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
30,14:30–15:00,870,"[T] It'll look like that, won't it? Okay. Now the next thing he said was you go somewhere along that ray and do another one. Now think carefully about that. [T] Right. You actually start at this point that's already there. You don't pick a point somewhere else. [T] Start at that point to make sure t",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
31,15:00–15:30,900,[T] Convex. Anyone know what convex is? Anyone know- there's a word that's the opposite of convex. [T] Curved. Yes. Curved which way? That's the key thing.,HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
