youtube_id,lesson_id,subject,country,lesson_num,title,srt_dir,transcript_file
RUBHh0bPScw,M-AU1,math,AU,1,AU1 Exterior Angles in a Polygon,math/subtitles/timss-29,math/transcripts/Math AU 1 transcript.txt
G1mupEwPVR0,M-AU2,math,AU,2,AU2 Congruence,math/subtitles/timss-27,math/transcripts/Math AU 2 transcript.txt
gLZLjOfZwww,M-AU3,math,AU,3,AU3 Data Collection and Representation,math/subtitles/timss-33,math/transcripts/Math AU 3 transcript.txt
x6M9pb3xdZ0,M-AU4,math,AU,4,AU4 Ratios,math/subtitles/timss-35,math/transcripts/Math AU 4 transcript.txt
8r4gIZ1XWf8,M-CZ1,math,CZ,1,CZ1 Exponents and Square Roots,math/subtitles/timss-36,math/transcripts/Math CZ1 transcript.txt
aI2XrwwzYvs,M-CZ2,math,CZ,2,CZ2 Perimeter of a Circle,math/subtitles/timss-64,math/transcripts/Math CZ2 transcript.txt
NTM_FJXTm9Y,M-CZ3,math,CZ,3,CZ3 Exponents,math/subtitles/timss-39,math/transcripts/Math CZ3 transcript.txt
HInM97MPlXU,M-CZ4,math,CZ,4,CZ4 Exponents,math/subtitles/timss-41,math/transcripts/Math CZ4 transcript.txt
rwP7EvuJXoA,M-HK1,math,HK,1,HK1 Square Roots,math/subtitles/timss-43,math/transcripts/Math HK1 transcript.txt
yPY3eItHdjc,M-HK2,math,HK,2,HK2 Simultaneous Linear Equations,math/subtitles/timss-44,math/transcripts/Math HK2 transcript.txt
ur-KUACnCoY,M-HK3,math,HK,3,HK3 Polygons,math/subtitles/timss-45,math/transcripts/Math HK3 transcript.txt
Y9xl06cl3M0,M-HK4,math,HK,4,HK4 Identity,math/subtitles/timss-65,math/transcripts/Math HK4 transcript.txt
nLDXU2c0vLw,M-JP1,math,JP,1,JP1 Finding the Value of an Angle,math/subtitles/timss-66,math/transcripts/Math JP1 transcript.txt
RjRFeTQfBaI,M-JP2,math,JP,2,JP2 Changing Shape without Changing Area,math/subtitles/timss-67,math/transcripts/Math JP2 transcript.txt
XHx2UoAkRrM,M-JP3,math,JP,3,JP3 Solving Inequalities,math/subtitles/timss-49,math/transcripts/Math JP3 transcript.txt
1opZ1y4oQzs,M-JP4,math,JP,4,JP4 Solving Inequalities,math/subtitles/timss-53,math/transcripts/Math JP4 transcript.txt
I6PcrUIRolI,M-NL1,math,NL,1,NL1 Graphing Linear Equations,math/subtitles/timss-68,math/transcripts/Math NL1 transcript.txt
P5Lxj2nfGzc,M-NL2,math,NL,2,NL2 Pythagorean Theorem,math/subtitles/timss-54,math/transcripts/Math NL2 transcript.txt
1FFVg1Nq7UA,M-NL3,math,NL,3,NL3 Surface Area,math/subtitles/timss-55,math/transcripts/Math NL3 transcript.txt
fqR3HKDEpUA,M-NL4,math,NL,4,NL4 Equations,math/subtitles/timss-56,math/transcripts/Math NL4 transcript.txt
g3MPpwKuR7w,M-SW1,math,SW,1,SW1 Factoring Quadratic Equations,math/subtitles/timss-60,math/transcripts/Math SW1 transcript.txt
twLX0yNZS9A,M-SW2,math,SW,2,SW2 Introducing Algebra,math/subtitles/timss-61,math/transcripts/Math SW2 transcript.txt
ymY74MZ2QY0,M-SW3,math,SW,3,SW3 Pythagorean Theorem,math/subtitles/timss-62,math/transcripts/Math SW3 transcript.txt
7KtweVx58hk,M-SW4,math,SW,4,SW4 Equivalence,math/subtitles/timss-63,math/transcripts/Math SW4 transcript.txt
5Eg1fJ-ZpQs,M-US1,math,US,1,US1 Graphing Linear Equations,math/subtitles/timss-58,math/transcripts/Math US1 transcript.txt
jlls_iqJId4,M-US2,math,US,2,US2 Writing Variable Expressions,math/subtitles/timss-80,math/transcripts/Math US2 transcript.txt
DJXcIziitBk,M-US3,math,US,3,US3 Exponents,math/subtitles/timss-69,math/transcripts/Math US3 transcript.txt
P52TTq4Zy2Y,M-US4,math,US,4,US4 Secants and Tangents,math/subtitles/timss-70,math/transcripts/Math US4 transcript.txt
xahQOmqWfn8,M-US87,math,US,87,US87 (TIMSS 1995),math/subtitles/timss-97,
D-Xk2J10NxI,S-AU1,science,AU,1,AU1 Fingerprints,science/subtitles/timss-30,science/transcripts/Science AU1 transcript.txt
NL3selJnFQI,S-AU2,science,AU,2,AU2 Metals and Non-Metals,science/subtitles/timss-31,science/transcripts/Science AU2 transcript.txt
NjxUHM1SFW4,S-AU3,science,AU,3,AU3 Kidney Dissection,science/subtitles/timss-34,science/transcripts/Science AU3 transcript.txt
Km_Kpntb2R4,S-AU4,science,AU,4,AU4 Energy Transfer,science/subtitles/timss-93,science/transcripts/Science AU4 transcript.txt
4itgm-M7Jec,S-AU5,science,AU,5,AU5 Force and Motion,science/subtitles/timss-94,science/transcripts/Science AU5 transcript.txt
8ukg4VS7CkY,S-CZ1,science,CZ,1,CZ1 Spines,science/subtitles/timss-37,science/transcripts/Science CZ1 transcript.txt
BPpCl1O3TVM,S-CZ2,science,CZ,2,CZ2 Salts,science/subtitles/timss-71,science/transcripts/Science CZ2 transcript.txt
U56tFo0PbRU,S-CZ3,science,CZ,3,CZ3 Elementary Composition of Matter,science/subtitles/timss-38,science/transcripts/Science CZ3 transcript.txt
-xZdrftWAZY,S-CZ4,science,CZ,4,CZ4 Electrical Current,,science/transcripts/Science CZ4 transcript.txt
xrisdnH5GmQ,S-CZ5,science,CZ,5,CZ5 Density,science/subtitles/timss-42,science/transcripts/Science CZ5 transcript.txt
f-Hab5Mif-g,S-JP1,science,JP,1,JP1 Combination Reactions,science/subtitles/timss-46,science/transcripts/Science JP1 transcript.txt
_nukR4xT_x8,S-JP2,science,JP,2,JP2 Digestion,science/subtitles/timss-47,science/transcripts/Science JP2 transcript.txt
2RV2oyLbKTM,S-JP3,science,JP,3,JP3 Chemical Reactions,science/subtitles/timss-48,science/transcripts/Science JP3 transcript.txt
4Jd690u51YI,S-JP4,science,JP,4,JP4 Electrical Current and Heat,science/subtitles/timss-52,science/transcripts/Science JP4 transcript.txt
QLsTrJRsz4o,S-JP5,science,JP,5,JP5 Air Compression and Expansion,science/subtitles/timss-72,science/transcripts/Science JP5 transcript.txt
e1Ke14FbUPI,S-NL1,science,NL,1,NL1 Suspension and Emulsion,science/subtitles/timss-73,science/transcripts/Science NL1 transcript.txt
TOf9lE9ALBU,S-NL2,science,NL,2,NL2 Moments of Force,science/subtitles/timss-74,science/transcripts/Science NL2 transcript.txt
3a72dIsnDis,S-NL3,science,NL,3,NL3 Heart,science/subtitles/timss-79,science/transcripts/Science NL3 transcript.txt
99eFQZW73VI,S-NL4,science,NL,4,NL4 Eye,science/subtitles/timss-57,science/transcripts/Science NL4 transcript.txt
K8zXKd1pgJI,S-NL5,science,NL,5,NL5 Organ Donation,science/subtitles/timss-75,science/transcripts/Science NL5 transcript.txt
Iu0rxb-xkMk,S-US1,science,US,1,US1 Weather,science/subtitles/timss-76,science/transcripts/Science US1 transcript.txt
OuKfycgjMPg,S-US2,science,US,2,US2 Polymers,science/subtitles/timss-91,science/transcripts/Science US2 transcript.txt
13hjQurLXCg,S-US3,science,US,3,US3 Sunspots Pulleys,science/subtitles/timss-59,science/transcripts/Science US3 transcript.txt
gPb_ST74bpg,S-US4,science,US,4,US4 Rocks,science/subtitles/timss-77,science/transcripts/Science US4 transcript.txt
015DK-tP0Ao,S-US5,science,US,5,US5 Blood,science/subtitles/timss-78,science/transcripts/Science US5 transcript.txt
